page	time	Revenue	Visit
2.04	71	480728.006	1632
1.96	56	641155.476	1580
2.22	79	890076.65	1441
2.18	81	552673.978	1452
1.77	50	750776.984	1339
2.09	71	553054.693	892
2.37	80	274567.612	797
2.58	96	619284.636	744
2.56	82	674484.588	1044
2.42	78	762559.123	906
2.29	91	479084.174	849
2.37	98	528270.716	737
2.65	100	540675.973	734
2.46	91	768109.113	626
2.58	83	403820.108	577
2.54	82	388745.035	562
2.75	112	622367.297	563
2.75	101	456011.808	652
3.16	109	951216.164	611
3.18	113	534541.676	561
2.61	97	537651.894	558
2.74	95	623710.093	570
2.83	109	764838.993	551
2.7	93	315647.109	537
2.81	109	610984.658	543
2.68	96	563524.687	558
2.83	102	555497.236	536
2.49	87	432657.446	549
2.69	106	488985.671	545
2.49	91	689428.115	591
2.07	76	343105.084	383
2.06	62	605155.426	402
3.03	120	407276.99	547
2.77	103	405484.238	631
2.29	67	519934.137	795
2.26	66	614454.698	1000
1.97	68	516269.923	1207
1.65	38	297812.749	2317
1.64	42	692677.087	2013
1.65	40	897163.712	2324
1.42	28	417727.332	3726
1.45	31	326968.752	2563
1.5	35	326482.161	3006
1.83	52	508026.895	1663
1.62	37	413937.08	1779
2.13	63	422487.91	1086
2.2	69	376751.076	1231
1.93	59	410241.178	1248
1.77	49	549750.114	1674
1.77	48	268159.513	1514
1.7	45	322730.193	1302
2.02	59	397140.043	1191
1.99	54	370914.262	957
2.24	76	299424.672	963
2.07	50	297325.954	882
2.2	73	336761.585	942
2.08	77	419302.314	835
2.2	73	191171.579	802
2.16	81	133966.902	806
2.3	65	615712.783	900
2.23	75	360032.596	860
2.31	78	573918.453	924
2.04	67	397550.1	792
2.05	69	282044.858	781
2.38	70	310116.006	776
2.29	72	615950.171	772
